objectid,parentid,title,description,item information,postcard_type,creator,date,subject,location,publisher,publisher location,source,date is approximate,rights,rightsstatement,original_format,type,format,language,latitude,longitude,filename,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
nwpostcards490,,Forestry Building,"Postcard of the Forestry Building at the Alaska-Yukon-Pacific Exposition in 1909 in Seattle, Washington. The grounds of the exposition later became the University of Washington campus.","written message; postage applied; Postmark: 7/3/1909, Seattle, WA; Destination: Winthrop, MA",picture postcard,,1909,exhibition buildings; exhibitions (events); trees; picture postcards; flagpoles; flags,"Seattle, Washington; University of Washington",Portland Post Card Co.,"Portland, OR; Seattle, WA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.4375 x 5.5, Color",Image;StillImage,multiple,eng,47.655119,-122.305278,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_028_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_028_th.jpg,,
nwpostcards491,nwpostcards490,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_028.jpg,postcard_028,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_028.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_028_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_028_th.jpg,,
nwpostcards492,nwpostcards490,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_028b.jpg,postcard_028b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_028b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_028b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_028b_th.jpg,,
nwpostcards499,,"Hotel Seattle, Seattle, Washington","Postcard is of the Seattle Hotel in Seattle, Washington.",,photographic postcard,,1910,hotels (public accommodations); buildings; men; streetcars; photographic postcards,"Seattle, Washington",,,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.4375 x 5.375, Black and white",Image;StillImage,multiple,eng,47.601702,-122.334084,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_030_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_030_th.jpg,,
nwpostcards500,nwpostcards499,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_030.jpg,postcard_030,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_030.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_030_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_030_th.jpg,,
nwpostcards501,nwpostcards499,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_030b.jpg,postcard_030b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_030b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_030b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_030b_th.jpg,,
nwpostcards505,,"Spokane County Court House, Spokane, Washington (1)","Postcard is of the Spokane County Courthouse in Spokane, Washington.","written message; postage applied; Postmark: 9/8/1912, Spokane, WA; Destination: San Francisco, CA",picture postcard,,1912,public buildings; county courthouses; trees; picture postcards,"Spokane, Washington; Spokane County Courthouse",Spokane Post Card Co.,"Spokane, WA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.375 x 5.375, Color",Image;StillImage,multiple,eng,47.66432,-117.428031,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_032_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_032_th.jpg,,
nwpostcards506,nwpostcards505,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_032.jpg,postcard_032,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_032.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_032_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_032_th.jpg,,
nwpostcards507,nwpostcards505,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_032b.jpg,postcard_032b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_032b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_032b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_032b_th.jpg,,
nwpostcards511,,"Entrance to Davenport's Restaurant, Spokane, Washington","Postcard is of the entrance to the restaurant at the Davenport Hotel in Spokane, Washington. | Entrance to Davenport's Restaurant, Spokane, Wash.",,picture postcard,,1920,restaurants; hotels (public accommodations); buildings; picture postcards,"Spokane, Washington; Davenport Hotel",John W. Graham & Co.,"Spokane, WA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.4375 x 5.5, Color",Image;StillImage,multiple,eng,47.656642,-117.424149,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_040_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_040_th.jpg,,
nwpostcards512,nwpostcards511,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_040.jpg,postcard_040,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_040.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_040_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_040_th.jpg,,
nwpostcards513,nwpostcards511,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_040b.jpg,postcard_040b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_040b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_040b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_040b_th.jpg,,
nwpostcards514,,"Pierce County Court House, Tacoma, Washington","Postcard is of the old Pierce County Courthouse in Tacoma, Washington. The building was demolished in 1959.","written message; postage applied; Postmark: 2/23/1911, Tacoma, WA; Destination: Los Angeles, CA",picture postcard,,1911,public buildings; county courthouses; trees; historic buildings; picture postcards,"Tacoma, Washington",Portland Post Card Co.,"Portland, OR; Seattle, WA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"5.375 x 3.4375, Color",Image;StillImage,multiple,eng,47.254744,-122.44638,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_041_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_041_th.jpg,,
nwpostcards515,nwpostcards514,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_041.jpg,postcard_041,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_041.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_041_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_041_th.jpg,,
nwpostcards516,nwpostcards514,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_041b.jpg,postcard_041b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_041b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_041b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_041b_th.jpg,,
nwpostcards517,,Perkins Building,"Postcard of the historic Perkins Building in Tacoma, Washington. | Perkins Building, Home of the Morning Ledger & Evening News, Tacoma Wash",,picture postcard,,1911,buildings; historic buildings; men; tracks (transit system elements); picture postcards,"Tacoma, Washington",Pacific Novelty Co.,"San Francisco, CA; Los Angeles, CA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"5.4375 x 3.4375, Color",Image;StillImage,multiple,eng,47.253617,-122.437334,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_042_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_042_th.jpg,,
nwpostcards518,nwpostcards517,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_042.jpg,postcard_042,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_042.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_042_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_042_th.jpg,,
nwpostcards519,nwpostcards517,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_042b.jpg,postcard_042b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_042b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_042b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_042b_th.jpg,,
nwpostcards520,,"C Street, Tacoma, Washington","Postcard is a historic view of C street in Tacoma, Washington. | C. Street, Tacoma, Washington.",,picture postcard,,1910,buildings; historic buildings; men; women; tracks (transit system elements); horse-drawn vehicles; picture postcards,"Tacoma, Washington",,,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.4375 x 5.4375, Color",Image;StillImage,multiple,eng,47.257064,-122.439506,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_043_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_043_th.jpg,,
nwpostcards521,nwpostcards520,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_043.jpg,postcard_043,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_043.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_043_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_043_th.jpg,,
nwpostcards522,nwpostcards520,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_043b.jpg,postcard_043b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_043b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_043b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_043b_th.jpg,,
nwpostcards523,,"Tacoma High School, Tacoma, Washington","Postcard is of a Tacoma, Washington High School, now named Stadium High School.","written message; postage applied; Postmark: 7/17/1909, Tacoma, WA; Destination: Helena, MT",picture postcard,,1909,high schools (buildings); historic buildings; trees; horse-drawn vehicles; picture postcards; flagpoles; flags,"Tacoma, Washington; Stadium High School",Central News Company,"Tacoma, WA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.4375 x 5.4375, Color",Image;StillImage,multiple,eng,47.265893,-122.448445,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_044_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_044_th.jpg,,
nwpostcards524,nwpostcards523,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_044.jpg,postcard_044,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_044.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_044_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_044_th.jpg,,
nwpostcards525,nwpostcards523,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_044b.jpg,postcard_044b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_044b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_044b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_044b_th.jpg,,
nwpostcards526,,"State Penitentiary, Walla Walla, Washington","Postcard is of the Washington State Penitentiary in Walla Walla, Washington.",,picture postcard,,1920,penitentiaries (institutions). penitentiaries (buildings); trees; picture postcards,"Walla Walla, Washington; Washington State Penitentiary",Spokane Post Card Co.,"Spokane, WA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.4375 x 5.4375, Color",Image;StillImage,multiple,eng,46.077719,-118.356755,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_045_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_045_th.jpg,,
nwpostcards527,nwpostcards526,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_045.jpg,postcard_045,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_045.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_045_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_045_th.jpg,,
nwpostcards528,nwpostcards526,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_045b.jpg,postcard_045b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_045b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_045b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_045b_th.jpg,,
nwpostcards535,,"Court House, Spokane, Washington","Postcard is of the Spokane County Courthouse in Spokane, Washington.",,picture postcard,,1920,public buildings; county courthouses; trees; picture postcards; flagpoles; flags,"Spokane, Washington; Spokane County Courthouse",Withers Bros.,"Spokane, WA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.4375 x 5.375, Black and white",Image;StillImage,multiple,eng,47.66432,-117.428031,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_033_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_033_th.jpg,,
nwpostcards536,nwpostcards535,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_033.jpg,postcard_033,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_033.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_033_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_033_th.jpg,,
nwpostcards537,nwpostcards535,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_033b.jpg,postcard_033b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_033b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_033b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_033b_th.jpg,,
nwpostcards556,,Mount Adams,"Postcard is a view of Mount Adams from the Columbia River. | Columbia River Scenes, Oregon. Olde, Wortman & King, Portland. Hand-colored. Mount Adams.",,picture postcard,"Olds, Wortman & King",1920,mountains; rivers; trees; reflections (perceived properties); picture postcards,"Mount Adams, Washington; Columbia River","Olds, Wortman & King","Portland, OR","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5 x 5.5, Color",Image;StillImage,multiple,eng,45.696438,-121.83049,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_053_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_053_th.jpg,,
nwpostcards557,nwpostcards556,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_053.jpg,postcard_053,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_053.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_053_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_053_th.jpg,,
nwpostcards558,nwpostcards556,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_053b.jpg,postcard_053b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_053b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_053b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_053b_th.jpg,,
nwpostcards559,,"General View of Ashland, Oregon","Postcard is a photograph overlooking Ashland, Oregon.",,photographic postcard,,1910,college towns; trees; overlooks; photographic postcards,"Ashland, Oregon",Albertype Co.,"Brooklyn, NY","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5625 x 5.5625, Black and white",Image;StillImage,multiple,eng,42.197821,-122.725462,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_054_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_054_th.jpg,,
